name,baselineQty
Massas,10
Carne,10
Frango,10
Presunto,10
Linguicinha,10
Peito de Peru,10
Banana,10
Morango,10
Chocolate,10
Azeitona,10
Batata Palha,10
Catupiry,10
Cebola,10
Milho,10
Mussarela,10
Orégano,10
Tomate,10
Doce de leite,10
Leite condensado,10
Canela e açucar,10
Molho Barbecue,10
Molho Mostarda com Mel,10
Molho Pasta de Alho,10
Molho 4 Pimentas,10
